id,en,fr,es
RECRUIT_IDLE_DIALOG_1,Some monsters are actually pretty shy. [pause]I think I can relate.,Certains monstres sont en fait plutôt timides. [pause]Je pense que je comprends.,"Algunos monstruos son muy timidos. [pause]Creo que me los entiendo."
RECRUIT_IDLE_DIALOG_2,"{player}, have you ever tried being a Traffikrab? [pause]Like [wave amp=30 freq=10]really being[/wave] a Traffikrab?","{player}, as-tu déjà essayé de devenir un Traficrabe ? [pause]Genre, [wave amp=30 freq=10]vraiment devenir[/wave] un Traficrabe ?","{player}, ¿alguna vez has intentado ser un Trafikangrejo? [pause]En plan [wave amp=30 freq=10]ser verdaderamente[/wave] un Traffikrab?"
RECRUIT_IDLE_DIALOG_3,It's an experience.,C’est toute une expérience.,Es una experiencia.
RECRUIT_IDLE_DIALOG_4,Hey there! [pause]Record anything interesting today?,"Salut ! [pause]Tu as fait des enregistrements intéressants, aujourd’hui ?",¡Hola! [pause]¿Has grabado algo interesante hoy?
RECRUIT_IDLE_DIALOG_5,"There have been more floods lately. ",Il y a eu plus d’inondations depuis peu.,"Ha habido más inundaciones últimamente. "
RECRUIT_IDLE_DIALOG_6,"Sometimes[pause] I just like dashing through the forest! ","Parfois, [pause] j’aime bien simplement courir à travers la forêt !","A veces[pause] ¡simplemente me apetece correr por el bosque! "
RECRUIT_IDLE_DIALOG_7,"I picked up a strange sticker the other day.[pause] It doesn't seem to do anything, but my opponent always looks [wave amp=30 freq=10]so annoyed[/wave]!","J’ai mis la main sur un drôle d’autocollant l’autre jour. [pause]Il n’a pas l’air de faire quoi que ce soit, mais mes adversaires ont toujours l’air [wave amp=30 freq=10]très agacés[/wave] !","Recogí un palo extraño el otro día.[pause] No parece que haga nada, ¡pero mi oponente siempre parece [wave amp=30 freq=10]muy molesto[/wave]!"
RECRUIT_IDLE_DIALOG_8,I still have no idea how I got here.[pause] I'm not sure I want to go back though!,"Je n’ai toujours pas la moindre idée de comment je suis arrivé ici.[pause]Pas sûr d’avoir envie de rentrer, cependant!",Todavía no tengo ni idea de como he llegado aqui.[pause] ¡Aunque no tengo claro si quiero regresar!
RECRUIT_IDLE_DIALOG_9,"Harbourtown could use some new shops.[pause] Coffee is great[pause], but I'd do anything for a new pair of shoes!","Ce serait bien d’avoir quelques magasins de plus à Port-la-Ville.[pause] Le café, c’est super, [pause] mais je ferais n’importe quoi pour une nouvelle paire de chaussures !","A Villapuerto le vendrían bien algunas tiendas nuevas.[pause] El café es genial[pause], ¡pero haría lo que fuera por un nuevo par de zapatillas!"
RECRUIT_IDLE_DIALOG_10,I was battling this ranger the other day[pause] and he transformed into a Khepri and used Headshot like [wave amp=30 freq=15]7 times in a row[/wave]. I didn't even get a turn!,Je me suis battu contre un Veilleur l’autre jour[pause] et il s’est transformé en Khépri et a m’attaqué avec Tir à la tête [wave amp=30 freq=15]7 fois de suite[/wave]. Je n’ai même pas eu droit à mon tour !,Estaba peleando contra un guarda el otro día[pause] y se transformó en un Jepri y usó Tiro a la cabeza como [wave amp=30 freq=15]7 veces seguidas/wave]. ¡Ni siquiera tuve un turno!
